runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
105,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90.0,92.0,87.4,0,1,1,0,0,0,1939.0,1.0
81,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75.5,75.5,76.6,0,1,0,0,1,0,2016.0,0.0
90,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,93.0,63.0,93.0,2,1,1,0,0,0,2012.0,0.0
126,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,71.5,71.5,68.95,3,1,0,0,0,1,2013.0,1.0
102,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,87.0,77.0,85.45,2,1,0,1,0,0,2013.0,0.0
134,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,97.0,85.5,72.4,0,1,0,0,0,1,1966.0,1.0
99,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63.0,54.0,58.55,3,1,1,0,0,0,2014.0,1.0
116,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,73.0,41.5,53.7,0,1,1,0,0,0,1997.0,1.0
85,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90.0,79.0,69.9,0,1,0,0,1,0,2016.0,0.0
98,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.0,63.0,35.8,1,1,0,0,1,0,2012.0,0.0
94,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,47.0,53.0,59.3,2,1,0,1,0,0,2013.0,0.0
93,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.5,14.0,54.8,0,1,1,0,0,0,1994.0,1.0
94,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,86.0,33.0,38.9,0,0,0,0,0,0,,
